id,categories,title,organization,date,key_findings,url,metadata
cdt-2025,Current AI Use and Perceptions in PK 12 & HigherEd,Teachers Adapting to AI Tools in the Classroom,Center for Digital Teaching,2025-01,"85% of teachers report using AI for lesson planning, but only 32% feel confident in evaluating AI-generated content.",https://www.rand.org/pubs/research_reports/RRA956-21.html,complexity=2|region=global|subjects=general
naep-2025,Student Performance Data,GenAI Impact on STEM Learning,National Assessment of Educational Progress,2025-02,Students with access to AI tutoring showed 18% improvement in math problem-solving compared to control groups.,https://www.commonsensemedia.org/sites/default/files/research/report/generative-ai-in-k-12-education-white-paper-updated-aug-2024-final-2.pdf,complexity=3|region=usa|subjects=math
harvard-2024,Student Performance Data,Digital Divide in AI Education Access,Harvard Graduate School of Education,2024-11,"Schools in low-income areas are 65% less likely to incorporate GenAI tools, widening existing achievement gaps.",https://unesdoc.unesco.org/ark:/48223/pf0000386693.locale=en,complexity=4|region=usa|subjects=policy|grade=k-12
stanford-2024,Student Performance Data,Collaborative Learning with Large Language Models,Stanford AI Education Institute,2024-09,Student-AI collaborative projects demonstrated 27% higher creativity scores and improved critical thinking metrics.,https://www.aiforeducation.io/s/EUA-Designing-for-Education-with-AI-An-Essential-Guide-for-Developers.pdf,complexity=3|region=global|subjects=liberal_arts|grade=9-12
mit-2025,Workforce Trends,Preparing Future Workforce for AI Collaboration,MIT Technology Review,2025-03,"78% of employers now expect entry-level candidates to demonstrate proficiency with AI tools, particularly in prompt engineering.",https://www.education.gov.au/schooling/resources/australian-framework-generative-artificial-intelligence-ai-schools,complexity=2|region=global|subjects=career_readiness|grade=college 
study-1,"Current State of Guidelines, Training, and Policies",training sessions,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.aiforeducation.io/services,complexity=3|region=global|subjects=general
study-2,Current AI Use and Perceptions in PK 12 & HigherEd,links to the original resource,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",#,complexity=3|region=global|subjects=general
study-3,Current AI Use and Perceptions in PK 12 & HigherEd,summary of key findings,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",#,complexity=3|region=global|subjects=general
study-4,Current AI Use and Perceptions in PK 12 & HigherEd,Current AI Use and Perceptions in PK 12 & HigherEd,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",#,complexity=3|region=global|subjects=general
study-5,Current AI Use and Perceptions in PK 12 & HigherEd,"Teachers Love AI, But They Need More Guidance From Schools",Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://districtadministration.com/article/teachers-love-ai-but-they-need-more-guidance-from-schools/,complexity=3|region=global|subjects=general
study-6,Current AI Use and Perceptions in PK 12 & HigherEd,National Parents Union Survey Shows Overwhelming Support for Protecting Children Online - National Parents Union,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://nationalparentsunion.org/2024/12/10/national-parents-union-survey-shows-overwhelming-support-for-protecting-children-online-2/,complexity=3|region=global|subjects=general
study-7,Current AI Use and Perceptions in PK 12 & HigherEd,"AI Chatbots in Schools: Findings from a Poll of K-12 Teachers, Students, Parents, and College Undergraduates",Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.aiforeducation.io/s/deck-impact-analysis-national-schools-tech-tracker-may-2024-1.pdf,complexity=3|region=global|subjects=general
study-8,Current AI Use and Perceptions in PK 12 & HigherEd,Using Artificial Intelligence Tools in K-12 Classrooms,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.rand.org/pubs/research_reports/RRA956-21.html,complexity=3|region=global|subjects=general
study-9,Current AI Use and Perceptions in PK 12 & HigherEd,Generative AI and the Future of Higher Education: a Threat to Academic Integrity or Reformation? Evidence from Multicultural Perspectives,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://educationaltechnologyjournal.springeropen.com/articles/10.1186/s41239-024-00453-6,complexity=3|region=global|subjects=general
study-10,Current AI Use and Perceptions in PK 12 & HigherEd,Pew Research Center Survey of US Teens,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.pewresearch.org/short-reads/2025/01/15/about-a-quarter-of-us-teens-have-used-chatgpt-for-schoolwork-double-the-share-in-2023/,complexity=3|region=global|subjects=general
study-11,Current AI Use and Perceptions in PK 12 & HigherEd,View of The Psychosocial Impacts of Generative AI Harms,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.aiforeducation.io/s/31251-Article-Text-35307-1-2-20240520-1.pdf,complexity=3|region=global|subjects=general
study-12,Workforce Trends,Workforce Trends,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",#,complexity=3|region=global|subjects=general
study-13,Workforce Trends,The AI Proficiency Report,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.sectionschool.com/ai/the-ai-proficiency-report?utm_source=newsletter&utm_medium=neuron&utm_campaign=01282025&utm_term=ai-proficiency-report&utm_content=secondary&_bhlid=326448b35272affb505745ffe532f7e010f901f0,complexity=3|region=global|subjects=general
study-14,Workforce Trends,The Future of Jobs Report,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.aiforeducation.io/s/WEF_Future_of_Jobs_Report_2025-1.pdf,complexity=3|region=global|subjects=general
study-15,Workforce Trends,"Generative AI, the American Worker, and the Future of Work",Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.brookings.edu/articles/generative-ai-the-american-worker-and-the-future-of-work/,complexity=3|region=global|subjects=general
study-16,Current AI Use and Perceptions in PK 12 & HigherEd,Growing Up: Navigating GenAI’s Early Years,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://ai.wharton.upenn.edu/wp-content/uploads/2024/11/AI-Report_Full-Report.pdf,complexity=3|region=global|subjects=general
study-17,Workforce Trends,Cengage Group Graduate Employability Report,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://cengage.widen.net/s/bmjxxjx9mm/cg-2024-employability-survey-report,complexity=3|region=global|subjects=general
study-18,Current AI Use and Perceptions in PK 12 & HigherEd,The State of AI in Early 2024: GenAI Adoption Spikes and Starts to Generate Value,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai,complexity=3|region=global|subjects=general
study-19,Student Performance Data,Student Performance Data,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",#,complexity=3|region=global|subjects=general
study-20,Student Performance Data,The Nation's Report Card,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.nationsreportcard.gov/,complexity=3|region=global|subjects=general
study-21,Current AI Use and Perceptions in PK 12 & HigherEd,What Do AI Chatbots Really Mean for Students and Cheating?,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.sciencedirect.com/science/article/pii/S2666920X24000560,complexity=3|region=global|subjects=general
study-22,Student Performance Data,PISA 2022 Results (Volume I) The State of Learning and Equity in Education,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.oecd.org/en/publications/pisa-2022-results-volume-i_53f23881-en.html,complexity=3|region=global|subjects=general
study-23,"Current State of Guidelines, Training, and Policies","Current State of Guidelines, Training, and Policies",Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",#,complexity=3|region=global|subjects=general
study-24,Current AI Use and Perceptions in PK 12 & HigherEd,Repository - Generative AI in Education Hub,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://scale.stanford.edu/genai/repository,complexity=3|region=global|subjects=general
study-25,"Current State of Guidelines, Training, and Policies",Generative AI: Product Safety Expectations,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.gov.uk/government/publications/generative-ai-product-safety-expectations/generative-ai-product-safety-expectations,complexity=3|region=global|subjects=general
study-26,Current AI Use and Perceptions in PK 12 & HigherEd,Fact Sheet: President Donald J. Trump Takes Action to Enhance America’s AI Leadership,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.whitehouse.gov/fact-sheets/2025/01/fact-sheet-president-donald-j-trump-takes-action-to-enhance-americas-ai-leadership/,complexity=3|region=global|subjects=general
study-27,Current AI Use and Perceptions in PK 12 & HigherEd,Lower Artificial Intelligence Literacy Predicts Greater AI Receptivity,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://osf.io/preprints/psyarxiv/t9u8g_v1,complexity=3|region=global|subjects=general
