id,url,categories,title,organization,date,description
study-01,https://districtadministration.com/article/teachers-love-ai-but-they-need-more-guidance-from-schools/,Current AI Use and Perceptions in PK 12 & HigherEd,"Teachers Love AI, But They Need More Guidance From Schools",Center for Democracy & Technology,2025-01,No gains in teacher literacy on data privacy since last year. Parents and students have significant concerns about risks associated with GenAI. Parents are calling for greater transparency and more choice around the use of GenAI in schools. Some of the features implemented to protect student safety are inhibitors to student learning.
study-02,https://nationalparentsunion.org/2024/12/10/national-parents-union-survey-shows-overwhelming-support-for-protecting-children-online-2/,Current AI Use and Perceptions in PK 12 & HigherEd,National Parents Union Survey Shows Overwhelming Support for Protecting Children Online - National Parents Union,National Parents Union Survey Shows Overwhelming Support for Protecting Children Online - National Parents Union,2024-12,"Demand from parents to create greater protective measures for students online is increasing. Among regulations and restrictions that parents support: minimum age for social media use, greater parental control, limiting features that keep kids online, and accountability for products not designed with the best interests of children in mind."
study-03,https://www.aiforeducation.io/s/deck-impact-analysis-national-schools-tech-tracker-may-2024-1.pdf,Current AI Use and Perceptions in PK 12 & HigherEd,"AI Chatbots in Schools: Findings from a Poll of K-12 Teachers, Students, Parents, and College Undergraduates",Walton Family Foundation + Impact Research,2024-05,GenAI usage rates are increasing. Sentiment is slightly decreased but positive on the whole. Stakeholders surveyed expressed a desire for additional AI policies and guidance.
study-04,https://www.rand.org/pubs/research_reports/RRA956-21.html,Current AI Use and Perceptions in PK 12 & HigherEd,Using Artificial Intelligence Tools in K-12 Classrooms,Rand,2024-04,"In the Fall of 2023, only 18% of educators were using GenAI. Secondary teachers who taught ELA and Social Studies were reported as those most likely to use GenAI. 60% of districts identified training in GenAI as a goal by the end of 2024. Urban districts were among those least likely to provide GenAI training to teachers."
study-05,https://educationaltechnologyjournal.springeropen.com/articles/10.1186/s41239-024-00453-6,Current AI Use and Perceptions in PK 12 & HigherEd,Generative AI and the Future of Higher Education: a Threat to Academic Integrity or Reformation? Evidence from Multicultural Perspectives,Research Organization,2024-03,"This study examines GenAI usage in Higher Education. Retrieving information and rewording texts were the most frequent use cases of those surveyed. Findings revealed inconsistencies among users in terms of what counts as cheating when using GenAI. The potential for inaccuracy and overreliance on GenAI were perceived as the greatest risk to GenAI use. The study also found culture had a large impact on participant views toward GenAI use, regulation, and openness to explore GenAI’s potential."
study-06,https://www.pewresearch.org/short-reads/2025/01/15/about-a-quarter-of-us-teens-have-used-chatgpt-for-schoolwork-double-the-share-in-2023/,Current AI Use and Perceptions in PK 12 & HigherEd,Pew Research Center Survey of US Teens,Research Organization,2025-01,"Usage rates amongst students are risking, though confusion remains about what counts as acceptable use. Students are still seeking guidance about this from schools."
study-07,https://www.aiforeducation.io/s/31251-Article-Text-35307-1-2-20240520-1.pdf,Current AI Use and Perceptions in PK 12 & HigherEd,View of The Psychosocial Impacts of Generative AI Harms,Research Organization,2024-05,"This study reveals that LLMs can produce outputs that are significantly biased, that depict marginalized groups in a way that manifests as “erasure, subordination, and stereotyping” (Vassal et. al, 2024) The authors call out both the potential for harm and need for additional research on this topic."
study-08,https://www.sectionschool.com/ai/the-ai-proficiency-report?utm_source=newsletter&utm_medium=neuron&utm_campaign=01282025&utm_term=ai-proficiency-report&utm_content=secondary&_bhlid=326448b35272affb505745ffe532f7e010f901f0,Workforce Trends,The AI Proficiency Report,Section,2025-01,"A very limited percentage of workers are adept enough at using AI to yield productivity benefits. Having a company policy spurs AI literacy efforts, though AI literacy efforts in general, are not demonstrating impact."
study-09,https://www.aiforeducation.io/s/WEF_Future_of_Jobs_Report_2025-1.pdf,Workforce Trends,The Future of Jobs Report,World Economic Forum,2025-01,"Casting a wider net of digital access, economic slowdown, the mitigation of climate change, population shifts, and geopolitical tensions are expected to have the greatest influence on business transformation between now and 2030. Frontline jobs (care, farming, construction, etc) are expected to experience the most growth. Technology jobs (software engineers, data specialists, ML experts) will see the fastest growth. Office workers (secretarial, etc) are likely to see the greatest job loss. Between 2025- 2030, workers can expect that nearly 40% of their skills will be sunsetted or need to evolve."
study-10,https://www.brookings.edu/articles/generative-ai-the-american-worker-and-the-future-of-work/,Workforce Trends,"Generative AI, the American Worker, and the Future of Work",The Brookings Institute,2024-10,"This study states that as workers and in workplaces, we are unprepared to meet the changes that face us as AI plays an increasing role in work and society. Explores some ways to take a proactive approach like establishing what “good” practice looks like among businesses that use GenAI, amplifying worker voice, and developing public policy responses."
